Date,Open,High,Low,Close,Adj Close,Volume
2021-03-29,152.772003,158.121994,151.422501,158.050003,158.050003,222356000
2021-04-05,158.649994,168.610001,158.061996,168.610001,168.610001,327450000
2021-04-12,167.760498,171.600006,166.300003,169.972000,169.972000,323248000
2021-04-19,169.516495,171.796494,165.072495,167.044006,167.044006,266660000
2021-04-26,167.399994,177.699997,166.546997,173.371002,173.371002,560628000
2021-05-03,174.236496,174.332504,162.360001,164.580505,164.580505,483684000
2021-05-10,164.115997,164.149994,156.368500,161.145004,161.145004,441414000
2021-05-17,162.296494,165.600006,159.199997,160.154007,160.154007,319402000
2021-05-24,160.774994,164.786499,160.524994,161.153503,161.153503,259178000
2021-05-31,162.175003,162.548996,159.201508,160.311005,160.311005,181850000
2021-06-07,159.866501,168.328995,158.610001,167.341507,167.341507,287638000
2021-06-14,167.341507,175.350006,166.774994,174.345001,174.345001,391658000
2021-06-21,173.820999,176.242996,169.709000,170.072998,170.072998,344170000
2021-06-28,170.800003,175.585999,170.470993,175.548996,175.548996,239034000
2021-07-05,176.505493,187.999496,176.449997,185.966995,185.966995,420034000
2021-07-12,187.199997,188.654007,178.522995,178.681503,178.681503,338862000
2021-07-19,176.628998,183.305496,174.957993,182.832001,182.832001,301220000
2021-07-26,183.658493,185.604004,165.348999,166.379501,166.379501,510340000
2021-08-02,167.654999,169.550003,164.988495,167.246994,167.246994,295324000
2021-08-09,167.180496,167.899994,163.483505,164.698502,164.698502,237576000
2021-08-16,164.149994,165.000000,158.787994,159.997498,159.997498,333064000
2021-08-23,160.595001,167.615997,160.500504,167.481506,167.481506,240028000
2021-08-30,167.871506,176.350006,167.761002,173.902496,173.902496,333558000
2021-09-06,173.899994,177.499496,173.145493,173.457504,173.457504,218156000
2021-09-13,174.139999,174.897995,170.100494,173.126007,173.126007,293272000
2021-09-20,169.800003,171.462997,165.250504,171.276001,171.276001,287140000
2021-09-27,168.574997,170.778503,162.796997,164.162994,164.162994,326112000
2021-10-04,163.969498,166.287506,158.812500,164.431000,164.431000,294652000
2021-10-11,163.750000,170.520996,161.813995,170.451004,170.451004,271266000
2021-10-18,169.417999,173.143005,166.565002,166.777496,166.777496,254410000
2021-10-25,166.750000,173.949997,163.666000,168.621506,168.621506,396426000
2021-11-01,168.089996,178.312500,164.177505,175.949493,175.949493,399674000
2021-11-08,176.162003,180.272507,172.352493,176.257507,176.257507,327002000
2021-11-15,176.850006,188.107498,176.257507,183.828506,183.828506,366946000
2021-11-22,183.819000,185.673004,175.207504,175.227997,175.227997,277034000
2021-11-29,177.382004,179.800003,166.929993,169.489502,169.489502,365688000
2021-12-06,169.649994,177.499496,166.934494,172.212006,172.212006,287276000
2021-12-13,172.000000,174.166000,165.195007,170.017502,170.017502,340358000
2021-12-20,166.850006,172.050003,165.600006,171.068497,171.068497,205152000
2021-12-27,171.037003,172.942993,166.558502,166.716995,166.716995,234494000
2022-01-03,167.550003,171.399994,161.936996,162.554001,162.554001,297112000
2022-01-10,160.585495,166.878006,156.304504,162.138000,162.138000,298796000
2022-01-17,159.104996,159.734497,142.070496,142.643005,142.643005,356480000
2022-01-24,139.000000,145.184998,135.352005,143.977997,143.977997,493958000
2022-01-31,144.750000,161.199997,138.332993,157.639496,157.639496,703846000
2022-02-07,158.520004,163.834503,152.733994,153.293503,153.293503,392818000
2022-02-14,151.751007,160.348999,150.893005,152.601501,152.601501,320010000
2022-02-21,150.478500,153.990005,139.500000,153.788498,153.788498,293554000
2022-02-28,152.425003,154.449997,143.807007,145.641006,145.641006,276024000
2022-03-07,145.443497,149.675003,133.572495,145.524506,145.524506,465214000
2022-03-14,145.981003,161.593994,140.884003,161.250504,161.250504,410524000
2022-03-21,161.121002,166.369995,159.552994,164.773499,164.773499,292266000
2022-03-28,164.975006,170.831497,162.319504,163.559998,163.559998,299232000
2022-04-04,164.125000,168.394501,154.231003,154.460495,154.460495,296804000
2022-04-11,152.712997,156.024994,149.600006,151.706497,151.706497,212278000
2022-04-18,151.523499,158.649002,143.697495,144.350006,144.350006,298118000
2022-04-25,144.022995,146.221497,121.625000,124.281502,124.281502,600718000
2022-05-02,122.401001,126.220497,113.081497,114.772499,114.772499,607320000
2022-05-09,111.312500,114.000000,102.405502,113.055000,113.055000,568972000
2022-05-16,113.099998,115.800003,105.009499,107.591003,107.591003,447036000
2022-05-23,108.460999,115.186996,101.260002,115.146500,115.146500,490514000
2022-05-30,116.279999,125.610001,115.675003,122.349998,122.349998,470326000
2022-06-06,125.250000,128.990005,109.050003,109.650002,109.650002,439648100
2022-06-13,104.190002,109.059998,101.430000,106.220001,106.220001,435976000
2022-06-20,108.199997,116.709999,103.559998,116.459999,116.459999,265154200
2022-06-27,117.089996,117.980003,102.519997,109.559998,109.559998,374152000
2022-07-04,107.599998,116.989998,106.320000,115.540001,115.540001,247134600
2022-07-11,114.080002,115.589996,106.010002,113.550003,113.550003,304602600
2022-07-18,115.000000,125.500000,113.150002,122.419998,122.419998,303077400
2022-07-25,122.699997,137.649994,114.529999,134.949997,134.949997,410016800
2022-08-01,134.960007,143.559998,133.509995,140.800003,140.800003,331869000
2022-08-08,142.050003,144.600006,136.210007,143.550003,143.550003,239948300
2022-08-15,142.800003,146.570007,137.910004,138.229996,138.229996,231518800
2022-08-22,135.720001,137.830002,130.500000,130.750000,130.750000,216159600
2022-08-29,129.899994,132.070007,123.660004,127.510002,127.510002,265019200
2022-09-05,127.919998,133.690002,124.739998,133.270004,133.270004,185165000
2022-09-12,134.100006,136.490005,120.699997,123.529999,123.529999,340392700
2022-09-19,122.160004,124.709999,112.059998,113.779999,113.779999,273832900
2022-09-26,113.300003,118.699997,112.839996,113.000000,113.000000,297031100
2022-10-03,113.580002,123.000000,112.449997,114.559998,114.559998,258903800
2022-10-10,115.099998,116.250000,105.349998,106.900002,106.900002,299106000
2022-10-17,110.110001,119.589996,110.089996,119.320000,119.320000,280043100
2022-10-24,119.980003,121.320000,97.660004,103.410004,103.410004,522007200
2022-10-31,103.559998,104.870003,88.040001,90.980003,90.980003,654167800
2022-11-07,91.949997,101.190002,85.870003,100.790001,100.790001,542000700
2022-11-14,98.769997,103.790001,92.480003,94.139999,94.139999,453874300
2022-11-21,93.970001,95.019997,90.589996,93.410004,93.410004,241025600
2022-11-28,93.930000,97.230003,91.440002,94.129997,94.129997,384300600
2022-12-05,93.050003,94.059998,87.480003,89.089996,89.089996,355830400
2022-12-12,89.209999,96.250000,86.730003,87.860001,87.860001,463456800
2022-12-19,87.510002,87.629997,82.250000,85.250000,85.250000,356012000
2022-12-26,84.970001,85.349998,81.690002,84.000000,84.000000,232909700
2023-01-02,85.459999,86.980003,81.430000,86.080002,86.080002,296825300
2023-01-09,87.459999,98.370003,87.080002,98.120003,98.120003,406953100
2023-01-16,98.680000,99.320000,92.860001,97.250000,97.250000,288809600
2023-01-23,97.559998,103.489998,91.519997,102.239998,102.239998,393991400
2023-01-30,101.089996,114.000000,99.010002,103.389999,103.389999,520198300
2023-02-06,102.930000,103.949997,96.230003,97.610001,97.610001,394687400
2023-02-13,97.849998,101.169998,95.650002,97.199997,97.199997,273370600
2023-02-20,95.339996,97.010002,92.320000,93.500000,93.500000,221635300
2023-02-27,94.279999,94.940002,90.389999,94.900002,94.900002,254998100
2023-03-06,95.190002,96.550003,90.250000,90.730003,90.730003,272158400
2023-03-13,89.970001,100.989998,88.120003,98.949997,98.949997,375788700
2023-03-20,98.410004,102.099998,95.699997,98.129997,98.129997,292116300
2023-03-27,99.070000,103.489998,96.290001,103.290001,103.290001,245608400
2023-04-03,102.300003,104.199997,99.800003,102.059998,102.059998,178781600
2023-04-10,100.959999,103.199997,97.709999,102.510002,102.510002,273789600
2023-04-17,103.160004,108.150002,101.389999,106.959999,106.959999,282580000
2023-04-24,107.660004,110.860001,102.449997,105.449997,105.449997,488932400
2023-05-01,104.949997,105.959999,101.150002,105.660004,105.660004,315507800
2023-05-08,105.040001,113.279999,104.699997,110.260002,110.260002,296882800
2023-05-15,111.150002,118.599998,109.250000,116.250000,116.250000,318303500
2023-05-22,116.769997,121.500000,113.779999,120.110001,120.110001,365081900
2023-05-29,122.370003,126.389999,119.169998,124.250000,124.250000,252705700
2023-06-05,123.360001,127.400002,120.629997,123.430000,123.430000,302797900
2023-06-12,124.019997,128.410004,123.529999,125.489998,125.489998,298971900
2023-06-19,124.970001,130.839996,123.849998,129.330002,129.330002,271277600
2023-06-26,129.330002,131.490005,127.099998,130.360001,130.360001,254011300
2023-07-03,130.820007,131.850006,127.370003,129.779999,129.779999,146728800
2023-07-10,129.070007,136.649994,125.919998,134.679993,134.679993,281422600
2023-07-17,134.559998,135.990005,128.419998,130.000000,130.000000,351035900
2023-07-24,130.309998,133.009995,126.110001,132.210007,132.210007,237666000
2023-07-31,133.199997,143.630005,126.410004,139.570007,139.570007,376551500
2023-08-07,140.990005,142.539993,137.000000,138.410004,138.410004,274701400
2023-08-14,138.300003,141.279999,131.149994,133.220001,133.220001,228429600
2023-08-21,133.740005,136.779999,130.580002,133.259995,133.259995,204972400
2023-08-28,133.779999,139.960007,131.850006,138.119995,138.119995,208621100
2023-09-04,137.729996,138.850006,133.160004,138.229996,138.229996,169269300
2023-09-11,138.750000,145.860001,138.639999,140.389999,140.389999,326793500
2023-09-18,140.479996,141.750000,128.520004,129.119995,129.119995,280708800
2023-09-25,129.360001,131.779999,123.040001,127.120003,127.120003,302552000
2023-10-02,127.279999,130.470001,124.129997,127.959999,127.959999,230255100
2023-10-09,126.220001,134.479996,124.760002,129.789993,129.789993,223009300
2023-10-16,130.690002,133.070007,124.970001,125.169998,125.169998,252181700
2023-10-23,124.629997,130.020004,118.349998,127.739998,127.739998,394938900
